id,id_localidad,nombre,id_provincia,provincia_nombre
loc_229,229,LA COTORRA,1,BUENOS AIRES
loc_230,230,LARRAMENDY,1,BUENOS AIRES
loc_231,231,LAS JUANITAS,1,BUENOS AIRES
loc_232,232,MAGDALA,1,BUENOS AIRES
loc_233,233,MONES CAZON,1,BUENOS AIRES
loc_234,234,NUEVA PLATA,1,BUENOS AIRES
loc_235,235,PEDRO GAMEN,1,BUENOS AIRES
loc_236,236,PEHUAJO,1,BUENOS AIRES
loc_237,237,PUEBLO SAN ESTEBAN,1,BUENOS AIRES
loc_238,238,ROVIRA,1,BUENOS AIRES
loc_239,239,SAN BERNARDO,1,BUENOS AIRES
loc_240,240,SANTA CECILIA CENTRO,1,BUENOS AIRES
loc_241,241,SANTA CECILIA NORTE,1,BUENOS AIRES
loc_242,242,SANTA CECILIA SUD,1,BUENOS AIRES
loc_243,243,ASAMBLEA,1,BUENOS AIRES
loc_244,244,BRAGADO,1,BUENOS AIRES
loc_245,245,COLONIA SAN EDUARDO,1,BUENOS AIRES
loc_246,246,COMODORO PY,1,BUENOS AIRES
loc_247,247,GENERAL O BRIEN,1,BUENOS AIRES
loc_248,248,IRALA,1,BUENOS AIRES
loc_249,249,LA LIMPIA,1,BUENOS AIRES
loc_250,250,LA MARIA,1,BUENOS AIRES
loc_251,251,MAXIMO FERNANDEZ,1,BUENOS AIRES
loc_252,252,MECHA,1,BUENOS AIRES
loc_253,253,MECHITA,1,BUENOS AIRES
loc_254,254,OLASCOAGA,1,BUENOS AIRES
loc_255,255,WARNES,1,BUENOS AIRES
loc_256,256,17 DE AGOSTO,1,BUENOS AIRES
loc_257,257,ADELA SAENZ,1,BUENOS AIRES
loc_258,258,ALDEA SAN ANDRES,1,BUENOS AIRES
loc_259,259,AZOPARDO,1,BUENOS AIRES
loc_260,260,BORDENAVE,1,BUENOS AIRES
loc_261,261,COLONIA DR GDOR UDAONDO,1,BUENOS AIRES
loc_262,262,COLONIA EL PINCEN,1,BUENOS AIRES
loc_263,263,COLONIA HIPOLITO YRIGOYEN,1,BUENOS AIRES
loc_264,264,COLONIA LA CATALINA,1,BUENOS AIRES
loc_265,265,COLONIA LA VASCONGADA,1,BUENOS AIRES
loc_266,266,COLONIA SANTA ROSA,1,BUENOS AIRES
loc_267,267,DARREGUEIRA,1,BUENOS AIRES
loc_268,268,DESVIO SAN ALEJO,1,BUENOS AIRES
loc_269,269,EMPALME PIEDRA ECHADA,1,BUENOS AIRES
loc_270,270,ERIZE,1,BUENOS AIRES
loc_271,271,ESTELA,1,BUENOS AIRES
loc_272,272,FELIPE SOLA,1,BUENOS AIRES
loc_273,273,GENERAL RONDEAU,1,BUENOS AIRES
loc_274,274,LA CELINA,1,BUENOS AIRES
loc_275,275,LA COLORADA CHICA,1,BUENOS AIRES
loc_276,276,LA EVA,1,BUENOS AIRES
loc_277,277,LA POCHOLA,1,BUENOS AIRES
loc_278,278,LA ROSALIA,1,BUENOS AIRES
loc_279,279,LA SOMBRA,1,BUENOS AIRES
loc_280,280,LA VASCONGADA,1,BUENOS AIRES
loc_281,281,LOPEZ LECUBE,1,BUENOS AIRES
loc_282,282,PIEDRA ANCHA,1,BUENOS AIRES
loc_283,283,PUAN,1,BUENOS AIRES
loc_284,284,RIVADEO,1,BUENOS AIRES
loc_285,285,SAN ANDRES,1,BUENOS AIRES
loc_286,286,SAN EMILIO,1,BUENOS AIRES
loc_287,287,SAN GERMAN,1,BUENOS AIRES
loc_288,288,SAN JOSE,1,BUENOS AIRES
loc_289,289,TRES CUERVOS,1,BUENOS AIRES
loc_290,290,VIBORAS,1,BUENOS AIRES
loc_291,291,VILLA IRIS,1,BUENOS AIRES
loc_292,292,BANFIELD,1,BUENOS AIRES
loc_293,293,LLAVALLOL,1,BUENOS AIRES
loc_294,294,LOMAS DE ZAMORA,1,BUENOS AIRES
loc_295,295,TEMPERLEY,1,BUENOS AIRES
loc_296,296,TURDERA,1,BUENOS AIRES
loc_297,297,HURLINGHAM,1,BUENOS AIRES
loc_298,298,VILLA SANTOS TESEI,1,BUENOS AIRES
loc_299,299,ANTONIO CARBONI,1,BUENOS AIRES
loc_300,300,AREVALO,1,BUENOS AIRES
loc_301,301,EL ARAZA,1,BUENOS AIRES
loc_302,302,ELVIRA,1,BUENOS AIRES
loc_303,303,EMPALME LOBOS,1,BUENOS AIRES
loc_304,304,KILOMETRO 112,1,BUENOS AIRES
loc_305,305,KILOMETRO 88,1,BUENOS AIRES
loc_306,306,LA ADELAIDA,1,BUENOS AIRES
loc_308,308,LAGUNA DE LOBOS,1,BUENOS AIRES
loc_309,309,LAS CHACRAS,1,BUENOS AIRES
loc_310,310,LOBOS,1,BUENOS AIRES
loc_311,311,SALVADOR MARIA,1,BUENOS AIRES
loc_312,312,SANTA ALICIA,1,BUENOS AIRES
loc_313,313,SANTA FELICIA,1,BUENOS AIRES
loc_314,314,ZAPIOLA,1,BUENOS AIRES
loc_315,315,BOLIVAR,1,BUENOS AIRES
loc_316,316,EL PORVENIR,1,BUENOS AIRES
loc_317,317,HALE,1,BUENOS AIRES
loc_318,318,JUAN F IBARRA,1,BUENOS AIRES
loc_319,319,LA PERLA,1,BUENOS AIRES
loc_320,320,LA TORRECITA,1,BUENOS AIRES
loc_321,321,MARIANO UNZUE,1,BUENOS AIRES
loc_323,323,PARAJE MIRAMAR,1,BUENOS AIRES
loc_324,324,PAULA,1,BUENOS AIRES
loc_325,325,PIROVANO,1,BUENOS AIRES
loc_326,326,SAN ANDRES,1,BUENOS AIRES
loc_327,327,URDAMPILLETA,1,BUENOS AIRES
loc_328,328,VALLIMANCA,1,BUENOS AIRES
loc_329,329,VILLA LYNCH PUEYRREDON,1,BUENOS AIRES
loc_330,330,VILLA SANZ,1,BUENOS AIRES
loc_331,331,4 DE NOVIEMBRE,1,BUENOS AIRES
loc_332,332,CARABELAS,1,BUENOS AIRES
loc_333,333,COLONIA LA BEBA,1,BUENOS AIRES
loc_334,334,EL JAGUEL,1,BUENOS AIRES
loc_335,335,GUIDO SPANO,1,BUENOS AIRES
loc_336,336,HARAS SAN JACINTO,1,BUENOS AIRES
loc_337,337,HUNTER,1,BUENOS AIRES
loc_338,338,KILOMETRO 36,1,BUENOS AIRES
loc_339,339,LA BEBA,1,BUENOS AIRES
loc_340,340,LA NACION,1,BUENOS AIRES
loc_341,341,LAS SALADAS,1,BUENOS AIRES
loc_342,342,LOS INDIOS,1,BUENOS AIRES
loc_343,343,PIRUCO,1,BUENOS AIRES
loc_344,344,PLUMACHO,1,BUENOS AIRES
loc_345,345,RAFAEL OBLIGADO,1,BUENOS AIRES
loc_346,346,ROBERTO CANO,1,BUENOS AIRES
loc_347,347,ROJAS,1,BUENOS AIRES
loc_348,348,SOL DE MAYO,1,BUENOS AIRES
loc_349,349,VILLA PROGRESO,1,BUENOS AIRES
loc_350,350,CARILO,1,BUENOS AIRES
loc_351,351,MONTECARLO,1,BUENOS AIRES
loc_352,352,OSTENDE,1,BUENOS AIRES
loc_353,353,PARQUE CARILO,1,BUENOS AIRES
loc_354,354,PINAMAR,1,BUENOS AIRES
loc_355,355,VALERIA DEL MAR,1,BUENOS AIRES
loc_356,356,ACHUPALLAS,1,BUENOS AIRES
loc_357,357,ALBERTI,1,BUENOS AIRES
loc_358,358,ANDERSON,1,BUENOS AIRES
loc_359,359,ANDRES VACCAREZZA,1,BUENOS AIRES
loc_360,360,BAUDRIX,1,BUENOS AIRES
loc_361,361,COLONIA PALANTELEN,1,BUENOS AIRES
loc_362,362,COLONIA ZAMBUNGO,1,BUENOS AIRES
loc_363,363,CORONEL MON,1,BUENOS AIRES
loc_364,364,CORONEL SEGUI,1,BUENOS AIRES
loc_365,365,EMITA,1,BUENOS AIRES
loc_366,366,GRISOLIA,1,BUENOS AIRES
loc_367,367,LARREA,1,BUENOS AIRES
loc_368,368,PALANTELEN,1,BUENOS AIRES
loc_369,369,PLA,1,BUENOS AIRES
loc_370,370,PRESIDENTE QUINTANA,1,BUENOS AIRES
loc_371,371,SAN JOSE,1,BUENOS AIRES
loc_372,372,VILLA MARIA,1,BUENOS AIRES
loc_373,373,VILLA ORTIZ,1,BUENOS AIRES
loc_374,374,SAN FERNANDO,1,BUENOS AIRES
loc_375,375,VICTORIA,1,BUENOS AIRES
loc_376,376,VIRREYES,1,BUENOS AIRES
loc_377,377,ZONA DELTA SAN FERNANDO,1,BUENOS AIRES
loc_378,378,ALMIRANTE IRIZAR,1,BUENOS AIRES
loc_379,379,BARRIO SAN ALEJO,1,BUENOS AIRES
loc_380,380,DEL VISO,1,BUENOS AIRES
loc_381,381,EMPALME,1,BUENOS AIRES
loc_382,382,ESTABLECIMIENTO SAN MIGUEL,1,BUENOS AIRES
loc_383,383,FATIMA ESTACION EMPALME,1,BUENOS AIRES
loc_384,384,KILOMETRO 45,1,BUENOS AIRES
loc_385,385,KILOMETRO 61,1,BUENOS AIRES
loc_386,386,MANUEL ALBERTI,1,BUENOS AIRES
loc_387,387,MANZANARES,1,BUENOS AIRES
loc_388,388,MANZONE,1,BUENOS AIRES
loc_389,389,PILAR,1,BUENOS AIRES
loc_390,390,PRESIDENTE DERQUI,1,BUENOS AIRES
loc_391,391,TORO,1,BUENOS AIRES
loc_392,392,VILLA AGUEDA,1,BUENOS AIRES
loc_393,393,VILLA ASTOLFI,1,BUENOS AIRES
loc_394,394,VILLA BUIDE,1,BUENOS AIRES
loc_395,395,VILLA ROSA,1,BUENOS AIRES
loc_396,396,VILLA SANTA MARIA,1,BUENOS AIRES
loc_397,397,VILLA VERDE,1,BUENOS AIRES
loc_398,398,ZELAYA,1,BUENOS AIRES
loc_399,399,CARAPACHAY,1,BUENOS AIRES
loc_400,400,FLORIDA,1,BUENOS AIRES
loc_401,401,FLORIDA OESTE,1,BUENOS AIRES
loc_402,402,LA LUCILA,1,BUENOS AIRES
loc_403,403,MUNRO,1,BUENOS AIRES
loc_404,404,OLIVOS,1,BUENOS AIRES
loc_405,405,VICENTE LOPEZ,1,BUENOS AIRES
loc_406,406,VILLA MARTELLI,1,BUENOS AIRES
loc_407,407,20 DE JUNIO,1,BUENOS AIRES
loc_408,408,ALDO BONZI,1,BUENOS AIRES
loc_409,409,CIUDAD EVITA,1,BUENOS AIRES
loc_410,410,CIUDAD MADERO,1,BUENOS AIRES
loc_411,411,GONZALEZ CATAN,1,BUENOS AIRES
loc_412,412,GREGORIO DE LAFERRERE,1,BUENOS AIRES
loc_413,413,ISIDRO CASANOVA,1,BUENOS AIRES
loc_414,414,LA SALADA,1,BUENOS AIRES
loc_415,415,LOMAS DEL MIRADOR,1,BUENOS AIRES
loc_416,416,MERCADO CENTRAL,1,BUENOS AIRES
loc_417,417,RAFAEL CASTILLO,1,BUENOS AIRES
loc_418,418,RAMOS MEJIA,1,BUENOS AIRES
loc_419,419,SAN JUSTO,1,BUENOS AIRES
loc_420,420,TABLADA,1,BUENOS AIRES
loc_421,421,TAPIALES,1,BUENOS AIRES
loc_422,422,VILLA INSUPERABLE,1,BUENOS AIRES
loc_423,423,VILLA LUZURIAGA,1,BUENOS AIRES
